participant_id,Cond,Ins,pc
0,AA,Acc,0.557894736842105
1,AA,Acc,0.614583333333333
2,AA,Acc,0.757894736842105
3,AA,Acc,0.604166666666667
4,AA,Acc,0.677083333333333
5,AA,Acc,0.458333333333333
6,AA,Acc,0.515789473684211
7,AA,Acc,0.542553191489362
8,AA,Acc,0.645833333333333
9,AA,Acc,0.56989247311828
10,AA,Acc,0.627659574468085
11,AA,Acc,0.510416666666667
12,AA,Acc,0.583333333333333
13,AA,Acc,0.572916666666667
14,AA,Acc,0.635416666666667
15,AA,Acc,0.572916666666667
16,AA,Acc,0.885416666666667
0,AB,Acc,0.6875
1,AB,Acc,0.697916666666667
2,AB,Acc,0.6875
3,AB,Acc,0.59375
4,AB,Acc,0.760416666666667
5,AB,Acc,0.625
6,AB,Acc,0.642105263157895
7,AB,Acc,0.659574468085106
8,AB,Acc,0.46875
9,AB,Acc,0.56989247311828
10,AB,Acc,0.712765957446808
11,AB,Acc,0.583333333333333
12,AB,Acc,0.572916666666667
13,AB,Acc,0.606382978723404
14,AB,Acc,0.705263157894737
15,AB,Acc,0.642105263157895
16,AB,Acc,0.84375
0,AA,Spd,0.6
1,AA,Spd,0.645833333333333
2,AA,Spd,0.666666666666667
3,AA,Spd,0.5625
4,AA,Spd,0.697916666666667
5,AA,Spd,0.476744186046512
6,AA,Spd,0.729166666666667
7,AA,Spd,0.59375
8,AA,Spd,0.520833333333333
9,AA,Spd,0.666666666666667
10,AA,Spd,0.59375
11,AA,Spd,0.708333333333333
12,AA,Spd,0.631578947368421
13,AA,Spd,0.552083333333333
14,AA,Spd,0.494736842105263
15,AA,Spd,0.583333333333333
16,AA,Spd,0.697916666666667
0,AB,Spd,0.59375
1,AB,Spd,0.53125
2,AB,Spd,0.614583333333333
3,AB,Spd,0.452631578947368
4,AB,Spd,0.589473684210526
5,AB,Spd,0.472527472527473
6,AB,Spd,0.604166666666667
7,AB,Spd,0.541666666666667
8,AB,Spd,0.604166666666667
9,AB,Spd,0.552083333333333
10,AB,Spd,0.5625
11,AB,Spd,0.59375
12,AB,Spd,0.473684210526316
13,AB,Spd,0.479166666666667
14,AB,Spd,0.494623655913978
15,AB,Spd,0.59375
16,AB,Spd,0.770833333333333
